"source_key","mission_slug","unit_name","unit_type","address","phones","emails","faxes","websites","jurisdiction","source_url","scraped_at","raw_snapshot"
"a2104cfd95b840c5c00f6f82e2a8236f47cdf3b0","helsinki-buyukelciligi-bize-yazin-https-helsinki-be-mfa-gov-tr-mission-contact","Ticaret Müşavirliği","trade",,"[]","[]","[]","[]",,"https://helsinki-be.mfa.gov.tr/Mission/Contact","2026-06-02T08:36:05.307Z","{""title"":""Ticaret Müşavirliği"",""body_text"":""Deniz Çakar\nBüyükelçi\nBüyükelçinin Mesajı\nBüyükelçinin Özgeçmişi\nBağlı Temsilcilikler\nÇALIŞMA SAATLERİ""}"
"90a65208f17eb993c8a009258f2749f297b2d731","kotonu-buyukelciligi-bize-yazin-acil-durum-https-kotonu-be-mfa-gov-tr-mission-contact","KONSOLOSLUK ÇAĞRI MERKEZİ 7/24","attached_unit",,"[]","[]","[]","[]",,"https://kotonu-be.mfa.gov.tr/Mission/Contact","2026-06-02T08:32:44.452Z","{""title"":""KONSOLOSLUK ÇAĞRI MERKEZİ 7/24"",""body_text"":""YABANCI DÜŞMANLIĞI BİLDİRİMİ\nGO TÜRKİYE\nHEALTH TÜRKİYE\nSTUDY IN TÜRKİYE\nTÜRKİYE'DE YATIRIM İMKANLARI\nTÜRKİYE TECH VISA\nFOTOĞRAF ALBÜMÜ""}"
"5100ede568d6ca4ab2081ac8399336f08ce1b87a","kotonu-buyukelciligi-bize-yazin-acil-durum-https-kotonu-be-mfa-gov-tr-mission-contact","Ticaret Müşavirliği","trade",,"[]","[]","[]","[]",,"https://kotonu-be.mfa.gov.tr/Mission/Contact","2026-06-02T08:32:44.450Z","{""title"":""Ticaret Müşavirliği"",""body_text"":""Mesut Koç\nBüyükelçi\nBüyükelçinin Mesajı\nBüyükelçinin Özgeçmişi\nÇALIŞMA SAATLERİ""}"
"c85708dc7e8485c55219218d0b8d74b6bb4adf76","madrid-buyukelciligi-bize-yazin-acil-durum-https-madrid-be-mfa-gov-tr-mission-contact","KONSOLOSLUK ÇAĞRI MERKEZİ 7/24","attached_unit",,"[]","[]","[]","[]",,"https://madrid-be.mfa.gov.tr/Mission/Contact","2026-06-02T08:37:55.183Z","{""title"":""KONSOLOSLUK ÇAĞRI MERKEZİ 7/24"",""body_text"":""YABANCI DÜŞMANLIĞI BİLDİRİMİ\nGO TÜRKİYE\nHEALTH TÜRKİYE\nSTUDY IN TÜRKİYE\nTÜRKİYE'DE YATIRIM İMKANLARI\nTÜRKİYE TECH VISA\nFOTOĞRAF ALBÜMÜ""}"
"7283d1cc8be354bf85659135619126f5cc509bef","madrid-buyukelciligi-bize-yazin-acil-durum-https-madrid-be-mfa-gov-tr-mission-contact","Ticaret Müşavirliği","trade",,"[]","[]","[]","[]",,"https://madrid-be.mfa.gov.tr/Mission/Contact","2026-06-02T08:37:55.183Z","{""title"":""Ticaret Müşavirliği"",""body_text"":""Nüket Küçükel Ezberci\nBüyükelçi\nBüyükelçinin Mesajı\nBüyükelçinin Özgeçmişi\nBağlı Temsilcilikler\nÇALIŞMA SAATLERİ""}"
"9c0698167330f44e78ec90e9a702514ceaf7e4a5","ottava-buyukelciligi-bize-yazin-acil-durum-https-ottava-be-mfa-gov-tr-mission-contact","Fahri Konsolosluk","honorary_consulate",,"[]","[]","[]","[]",,"https://ottava-be.mfa.gov.tr/Mission/Contact","2026-06-02T08:39:50.694Z","{""title"":""Fahri Konsolosluk"",""body_text"":""""}"
"6dd1bd2a79456ccde8c9b564b93376cbb83121e9","ottava-buyukelciligi-bize-yazin-acil-durum-https-ottava-be-mfa-gov-tr-mission-contact","KONSOLOSLUK ÇAĞRI MERKEZİ 7/24","attached_unit",,"[]","[]","[]","[]",,"https://ottava-be.mfa.gov.tr/Mission/Contact","2026-06-02T08:39:50.695Z","{""title"":""KONSOLOSLUK ÇAĞRI MERKEZİ 7/24"",""body_text"":""YABANCI DÜŞMANLIĞI BİLDİRİMİ\nGO TÜRKİYE\nHEALTH TÜRKİYE\nSTUDY IN TÜRKİYE\nTÜRKİYE'DE YATIRIM İMKANLARI\nTÜRKİYE TECH VISA\nFOTOĞRAF ALBÜMÜ""}"
"71d53df04b983851fcdf97e9db231f99efcd80ee","ottava-buyukelciligi-bize-yazin-acil-durum-https-ottava-be-mfa-gov-tr-mission-contact","Ticaret Müşavirliği","trade",,"[]","[]","[]","[]",,"https://ottava-be.mfa.gov.tr/Mission/Contact","2026-06-02T08:39:50.694Z","{""title"":""Ticaret Müşavirliği"",""body_text"":""Can Dizdar\nBüyükelçi\nBüyükelçinin Mesajı\nBüyükelçinin Özgeçmişi\nBağlı Temsilcilikler\nÇALIŞMA SAATLERİ""}"
"0bd098b6916de90951c9f06c8bf71a6239fa11fe","stokholm-buyukelciligi-bize-yazin-https-stokholm-be-mfa-gov-tr-mission-contact","KONSOLOSLUK ÇAĞRI MERKEZİ 7/24","attached_unit",,"[]","[]","[]","[]",,"https://stokholm-be.mfa.gov.tr/Mission/Contact","2026-06-02T08:38:13.803Z","{""title"":""KONSOLOSLUK ÇAĞRI MERKEZİ 7/24"",""body_text"":""YABANCI DÜŞMANLIĞI BİLDİRİMİ\nGO TÜRKİYE\nHEALTH TÜRKİYE\nSTUDY IN TÜRKİYE\nTÜRKİYE'DE YATIRIM İMKANLARI\nTÜRKİYE TECH VISA\nFOTOĞRAF ALBÜMÜ""}"
"f691bfe65015bad1cb6f5f3898c0ed5fd3dfc86a","stokholm-buyukelciligi-bize-yazin-https-stokholm-be-mfa-gov-tr-mission-contact","Ticaret Müşavirliği","trade",,"[]","[]","[]","[]",,"https://stokholm-be.mfa.gov.tr/Mission/Contact","2026-06-02T08:38:13.803Z","{""title"":""Ticaret Müşavirliği"",""body_text"":""Yönet Can Tezel\nBüyükelçi\nBüyükelçinin Mesajı\nBüyükelçinin Özgeçmişi\nBağlı Temsilcilikler\nÇALIŞMA SAATLERİ""}"
