Schema,Table,Index,Kolonlar,Unique,Scans,Olası_Unused,Duplicate_Aday,Risk,Oneri
public,catalog_categories,catalog_categories_slug_key,slug,EVET,305090,hayir,hayir,DUSUK,Koru
public,catalog_categories,idx_catalog_categories_module_sort,"module, sort_order",hayir,305090,hayir,hayir,DUSUK,Koru
public,catalog_categories,idx_catalog_categories_parent,parent_id,hayir,305090,hayir,hayir,DUSUK,Koru
public,catalog_claim_requests,catalog_claim_requests_pkey,id,EVET,20,hayir,hayir,DUSUK,Koru
public,catalog_claim_requests,idx_catalog_claim_requests_item_status,"item_id, status",hayir,20,hayir,hayir,DUSUK,Koru
public,catalog_claim_requests,idx_catalog_claim_requests_requested_by,"requested_by_user_id, status",hayir,20,hayir,hayir,DUSUK,Koru
public,catalog_item_attribute_overrides,catalog_item_attribute_overrides_item_id_attribute_key_key,"item_id, attribute_key",EVET,36,hayir,hayir,DUSUK,Koru
public,catalog_item_attribute_overrides,catalog_item_attribute_overrides_pkey,id,EVET,36,hayir,hayir,DUSUK,Koru
public,catalog_item_attribute_overrides,idx_catalog_item_attribute_overrides_item,item_id,hayir,36,hayir,hayir,DUSUK,Koru
public,catalog_item_attributes,catalog_item_attributes_item_id_attribute_id_key,"item_id, attribute_id",EVET,1077,hayir,hayir,DUSUK,Koru
public,catalog_item_attributes,catalog_item_attributes_pkey,id,EVET,1077,hayir,hayir,DUSUK,Koru
public,catalog_item_attributes,idx_catalog_item_attributes_attribute_id,attribute_id,hayir,1077,hayir,hayir,DUSUK,Koru
public,catalog_item_attributes,idx_catalog_item_attributes_item_id,item_id,hayir,1077,hayir,hayir,DUSUK,Koru
public,catalog_item_categories,catalog_item_categories_pkey,"item_id, category_id",EVET,320343,hayir,hayir,DUSUK,Koru
public,catalog_item_categories,idx_catalog_item_categories_category,"category_id, item_id",hayir,320343,hayir,hayir,DUSUK,Koru
public,catalog_item_categories,idx_catalog_item_categories_primary,item_id,EVET,320343,hayir,hayir,DUSUK,Koru
public,catalog_item_contacts,catalog_item_contacts_pkey,id,EVET,2787,hayir,hayir,DUSUK,Koru
public,catalog_item_contacts,idx_catalog_item_contacts_item_public,"item_id, is_public",hayir,2787,hayir,hayir,DUSUK,Koru
public,catalog_item_contacts,idx_catalog_item_contacts_primary,item_id,EVET,2787,hayir,hayir,DUSUK,Koru
public,catalog_item_favorites,catalog_item_favorites_pkey,"item_id, user_id",EVET,2,hayir,hayir,DUSUK,Koru
public,catalog_item_feature_overrides,catalog_item_feature_overrides_item_id_feature_key_key,"item_id, feature_key",EVET,99,hayir,hayir,DUSUK,Koru
public,catalog_item_feature_overrides,catalog_item_feature_overrides_pkey,id,EVET,99,hayir,hayir,DUSUK,Koru
